LOCATION,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER
Greater Grand Crossing,844,806,1147,1334,1316,1203,1124,1293,1504,1567,1183,899
Hall,767,626,646,745,639,663,908,984,756,946,835,643
Harold Washington Library Center,8929,8461,9516,10233,9966,9467,10259,11094,10767,12352,9067,5810
Hegewisch,326,417,373,432,356,383,399,416,388,441,317,297
Humboldt Park,718,828,811,946,1014,978,1204,1289,1105,1195,1005,874
Independence,487,750,699,829,839,756,773,869,732,746,665,609
Jefferson Park,676,794,842,823,900,812,835,859,843,790,749,725
Jeffery Manor,464,627,594,603,729,697,730,673,820,837,709,519
Kelly,467,531,496,450,549,556,660,709,561,694,705,735
King,965,1019,958,1082,905,903,1208,1156,1115,1175,1022,916
Legler Regional,614,903,991,1127,1075,1303,1595,1543,1552,1787,1612,1294
Lincoln Belmont,591,566,564,650,644,680,670,799,791,827,847,879
Lincoln Park,764,889,934,1009,987,796,1026,1162,1042,1156,1005,861
Little Italy,707,815,841,932,956,954,977,916,1099,1213,907,936
Little Village,1150,1303,1375,1375,1518,1433,1560,1899,1451,1700,1304,1079
Logan Square,1215,1190,1097,1276,1251,1306,1425,1440,1297,1403,1070,1127
Lozano,1197,1197,1377,1402,1191,1364,1489,1623,1455,1813,1824,1789
Manning,653,779,752,648,770,785,820,940,995,1086,1030,763
Mayfair,251,251,242,246,200,328,341,419,336,396,355,338
McKinley Park,548,585,585,668,606,567,572,758,691,810,715,717
Merlo,878,900,964,1029,940,937,1070,1108,1154,1251,1035,1006
Mount Greenwood,439,402,442,467,446,456,441,576,547,664,506,459
Near North,1154,1248,1429,1485,1382,1342,1345,1657,1650,1699,1560,1540
North Austin,500,579,573,531,614,672,898,802,798,807,660,557
North Pulaski,482,487,564,554,590,603,654,683,623,741,622,617
Northtown,1172,1261,1389,1464,1497,1756,2043,2313,1940,1968,1606,1427
Oriole Park,590,588,637,534,544,550,546,641,725,648,674,641
Portage-Cragin,798,668,894,858,852,849,997,1090,963,1052,1025,937
Pullman,838,795,855,774,1023,932,1003,1169,921,1001,993,995
Roden,461,442,418,326,435,456,499,558,476,491,450,468
Rogers Park,1257,1172,1204,1440,1463,1469,1709,1837,1769,1906,1647,1512
Scottsdale,485,507,538,538,553,569,660,743,782,768,687,578
Sherman Park,653,598,647,703,741,718,900,759,619,899,828,661
South Chicago,772,752,794,732,826,859,994,1026,1043,1076,940,816
South Shore,1278,1350,1237,1597,1434,1457,1922,1790,1646,2039,1645,1470
Sulzer Regional Library,2357,2465,2366,2270,1199,2428,2958,3058,2862,3234,2935,2596
Thurgood Marshall,893,973,1030,1061,1035,1061,1355,1376,1303,1596,1126,1076
Toman,723,798,717,760,749,715,927,1009,838,1023,810,709
Uptown,1123,1147,1239,1304,1345,1409,1688,1689,1542,1803,1640,1396
Vodak-East Side,719,824,751,742,809,672,928,1015,898,840,919,724
Walker,395,423,445,410,582,486,514,570,589,648,509,524
West Belmont,572,619,641,670,703,755,883,848,761,792,726,654
West Chicago Avenue,634,691,777,814,802,831,1012,885,820,1129,959,776
West Englewood,604,642,689,780,824,1023,1349,1537,1246,1478,1362,1008
West Lawn,500,503,577,686,720,620,669,712,674,773,581,498
West Loop,324,302,369,385,508,500,581,548,644,653,521,371
West Pullman,1153,1115,1262,1272,173,694,1358,1599,1567,1784,1243,1413
West Town,756,808,812,866,968,952,1063,1086,1048,1385,1332,1244
"Whitney M. Young, Jr.",1135,1341,1232,1764,1870,1887,1852,2211,2202,2451,1928,1946
Woodson Regional Library,2562,2869,2867,3215,3079,3092,3931,4193,4077,4642,4139,3399
Wrightwood-Ashburn,638,673,626,806,702,765,794,823,798,779,665,620
