LOCATION,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER
South Shore,1066,868,1155,1514,1620,1486,1388,1819,1784,1682,1539,1580
Sulzer Regional Library,13873,12812,16196,14320,14497,13147,15148,16132,15602,16374,12616,14660
Thurgood Marshall,2094,2043,2695,2698,2419,2557,2944,3165,2994,3092,2690,2773
Toman,1371,1155,1856,1554,1522,1842,1925,1662,1818,1645,1538,1675
Uptown,4948,3901,4675,5357,4901,5713,5877,6088,6197,6305,5801,5496
Vodak-East Side,2007,2769,2370,2357,2184,2188,3058,3058,3141,3674,3405,3357
Walker,325,457,704,707,516,900,990,977,975,1783,3088,633
West Belmont,1954,1675,2323,2153,2225,3387,2728,2856,2847,3106,2967,2472
West Chicago Avenue,330,490,667,618,692,693,786,887,1102,991,881,817
West Englewood,2038,1657,2047,1947,2211,2225,2467,3104,2958,3021,2759,2471
West Lawn,1030,914,1363,1406,1307,699,0,0,0,0,0,0
West Loop,2514,2322,2685,2823,2728,2675,3442,3423,3346,3629,3569,3237
West Pullman,883,990,1872,1445,1490,1471,1645,1470,1203,1243,1098,1122
West Town,3402,2938,3580,3627,4617,4973,4058,2096,2969,6183,5076,4759
"Whitney M. Young, Jr.",1830,1515,1921,2215,2311,2436,1639,3665,3651,2854,3016,3113
Woodson Regional Library,3655,3446,5049,6815,3638,3144,5060,5636,5256,5312,4550,4426
Wrightwood-Ashburn,1417,0,0,734,908,1223,1435,1299,1279,1440,1316,1223
