LOCATION,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER
Albany Park,8214,7614,8460,7414,7044,7970,9664,9069,7053,8012,6571,5924
Altgeld,378,326,332,270,320,325,354,229,234,377,369,500
Archer Heights,5365,5019,5417,5349,4833,4627,5356,4793,4537,5263,4051,3415
Austin,215,590,706,736,806,983,1134,1236,1193,1361,1286,1082
Austin-Irving,9678,9764,10845,10541,9763,11442,11634,11063,9379,9932,8567,6492
Avalon,2910,2836,3086,3152,2942,3279,3460,3538,2910,3128,2585,2654
Back of the Yards,2156,1856,2091,2593,1837,1772,2412,2393,1820,2286,1534,1715
Beverly,3937,4035,4177,3974,3769,4180,4425,4651,4013,4660,3980,3350
Bezazian,8524,7113,8426,8151,8319,7785,8873,9245,8064,8695,7625,7536
Blackstone,7981,7477,9197,8088,7609,9343,9804,9745,7941,8423,7648,6577
Brainerd,677,623,649,837,878,969,720,850,897,841,659,604
Brighton Park,4157,3471,4160,3668,3650,3524,3759,4420,3786,4443,3223,2747
Bucktown-Wicker Park,8642,8309,9764,8341,8659,9859,10344,10569,9277,9444,8693,7519
Budlong Woods,8892,8935,9106,8191,7487,7449,8624,8233,7203,7790,7191,6498
Canaryville,1617,1426,1735,1527,1562,1646,1793,1845,1612,1933,1749,1666
Chicago Bee,862,991,936,731,859,817,1076,1056,970,1068,802,757
Chicago Lawn,2521,2415,2883,3005,2712,2618,3362,3220,2381,4,1624,1901
Chinatown,8235,7775,9347,8221,8037,8501,8711,9063,7789,7748,7175,6707
Clearing,2534,2530,2557,2565,2800,2628,3158,3106,2594,588,958,1941
Coleman,2291,2446,2394,2464,2153,2517,2374,2244,26,1034,1675,1588
"Daley, Richard J.",5280,4497,5730,5508,5332,5140,5897,5438,4696,5175,5016,3980
"Daley, Richard M.",2492,2471,2734,2525,2348,2471,2453,2302,2753,3317,2655,2493
Douglass,0,0,4,0,0,0,0,0,0,2,423,821
Dunning,4058,4305,4361,4329,3820,3835,4769,4348,4261,3534,3443,3183
Edgebrook,8719,8489,9174,8587,8264,9335,10893,10515,8092,8733,7434,6568
Edgewater,14294,13730,14560,14545,13342,14701,16253,16822,13737,14577,13183,11655
Gage Park,1012,825,1048,1055,898,1082,1513,1140,1117,1950,1365,1097
Galewood-Mont Clare,749,640,856,760,783,826,856,741,923,816,649,557
Garfield Ridge,4409,4318,4643,4517,4164,4622,5448,4765,3661,5170,4220,3250
Greater Grand Crossing,1087,1054,1424,1267,1409,1463,2066,1605,1984,1556,1220,1129
Hall,1075,1028,1323,1207,1138,1382,1690,1651,1837,1573,1150,1131
