LOCATION,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER
Harold Washtington Library Center,48072,46112,52568,49554,48041,47580,51624,52012,48078,50636,44604,42270
Hegewisch,1688,1573,1733,1509,1347,1566,1805,1495,1340,1840,1554,1602
Humboldt Park,5075,4464,5367,4966,4348,4526,5304,4890,4473,4897,4345,3914
Independence,2293,6993,8700,7706,6668,8554,9449,9876,7103,8396,7125,5592
Jefferson Park,4148,94,0,0,0,0,0,0,0,9,2642,4913
Jeffery Manor,632,603,632,659,503,649,791,951,927,1041,729,657
Kelly,1048,730,711,847,906,1070,1235,1117,932,862,825,833
King,1713,1464,1733,1679,1598,1813,1804,1703,1891,2171,1985,1757
Legler Regional,769,767,701,723,1039,928,1240,1281,1045,79,0,0
Lincoln Belmont,11587,11718,15218,14150,13897,14997,16318,16522,13504,15803,13617,11315
Lincoln Park,9826,9336,11605,10534,10314,11653,12704,12758,11161,12329,11050,10067
Little Italy,1088,3975,6130,5485,5717,6177,6750,6558,4983,5642,5020,4756
Little Village,2973,3106,3354,3732,3139,3348,3633,3547,3385,3790,2799,2474
Logan Square,10828,9873,11488,10770,11114,10870,12661,12090,10834,11858,10353,9206
Lozano,3781,3346,3974,3237,2960,3189,3781,4139,3516,3952,3273,2963
Manning,1730,1729,1758,1898,1716,1705,2130,2269,1877,2116,1800,1490
Mayfair,4283,3826,4475,3935,3606,4006,4444,4403,3873,4068,3270,2713
McKinley Park,4477,4649,5101,5260,4593,4902,5079,5105,4969,5266,4521,3960
Merlo,8053,6583,1,0,0,0,0,0,0,0,0,0
Mount Greenwood,4301,4637,4949,4624,4788,5486,6275,5271,4309,4748,4179,3483
Near North,8232,7589,8325,8367,8600,8953,9921,9653,8051,9220,7965,7350
North Austin,997,821,735,995,959,1030,1308,1333,1161,1238,1014,875
North Pulaski,2476,2106,2397,2677,2290,2076,2514,2514,2097,2314,2074,1695
Northtown,109,45,9413,10129,9740,11365,13998,12762,9765,11590,9017,9011
Oriole Park,5120,5265,6103,5583,5305,6012,6505,5992,4985,5501,4503,4334
Portage-Cragin,6272,5363,6671,2688,0,1265,6023,5576,5101,4703,4909,4062
Pullman,1139,1072,1052,1013,1104,1155,976,1042,1067,1046,885,955
Roden,5994,5749,6976,6455,5990,6697,7785,6981,5813,6196,5845,2444
Rogers Park,10289,10039,10648,9532,8916,9357,10283,10171,8841,9068,8141,7680
Scottsdale,2062,1744,2184,2016,1875,1836,2038,1826,1530,1719,1689,1404
Sherman Park,589,593,540,595,584,483,743,696,548,691,515,427
South Chicago,1375,1548,1480,1677,1541,1601,1612,1614,1641,1790,1484,1336
South Shore,2052,511,7,0,0,0,0,0,0,0,0,1
Sulzer Regional Library,31782,29305,33438,30611,29432,32036,33964,33231,29364,30507,29105,26755
Thurgood Marshall,1845,1936,1730,1753,1868,1945,2108,1699,1595,1857,1508,1295
Toman,4427,4176,4282,4473,3687,3752,4700,3840,4213,4874,3991,3612
Uptown,4063,5991,7361,7704,7969,8542,9561,9434,7843,8226,7514,6661
Vodak-East Side,2715,2577,2948,2581,2480,2536,2907,2621,2293,2911,2254,1208
Walker,1385,1481,1480,1381,1451,1697,2011,2080,1597,1115,54,773
West Belmont,2334,4986,5554,6818,6454,7153,6601,6583,5137,5871,4561,3801
West Chicago Avenue,827,767,684,756,851,228,845,731,802,1031,704,586
West Englewood,1053,940,1043,1095,1200,1100,1249,1469,1227,1181,1123,854
West Lawn,2757,2631,2859,3038,2761,2807,3470,3049,2919,4307,3305,2479
West Loop,2620,5386,5732,4838,4830,4879,5720,5916,5124,5449,4789,4122
West Pullman,1346,1439,1563,1343,1659,1656,1663,1630,1673,1422,1217,1212
West Town,5076,4166,5454,5075,4659,5366,5756,5878,5001,4950,4511,3997
"Whitney M. Young, Jr.",763,1496,2003,1911,1879,1997,2126,1914,1861,2288,2089,1646
Woodson Regional Library,5061,5034,5524,5313,4683,5133,5103,4966,5118,5475,4667,3856
Wrightwood-Ashburn,1478,1322,1526,1440,1566,1675,1812,1631,1552,1475,1297,833
